cust_id,transaction_type,transaction_date,subscription_type,subscription_price,customer_gender,age_group,customer_country,referral_type,year,month,first_tx,cohort_month,plan_id,billing_month,is_churn,active_month
14,upgrade,2020-07-01,PRO,65.0,Female,35-44,Norway,google ads,2020,2020-07,2020-03-01,2020-03,3,2020-07-01,False,2020-07
15,initial,2022-06-01,PRO,85.0,Female,25-34,Norway,google ads,2022,2022-06,2022-06-01,2022-06,3,2022-06-01,False,2022-06
16,initial,2020-12-01,PRO,65.0,Female,18-24,Norway,organic search,2020,2020-12,2020-12-01,2020-12,3,2020-12-01,False,2020-12
16,upgrade,2022-11-01,MAX,119.0,Female,18-24,Norway,organic search,2022,2022-11,2020-12-01,2020-12,2,2022-11-01,False,2022-11
17,initial,2021-12-01,BASIC,43.0,Male,45-54,Denmark,unknown,2021,2021-12,2021-12-01,2021-12,1,2021-12-01,False,2021-12
17,churn,2022-08-01,BASIC,53.0,Male,45-54,Denmark,unknown,2022,2022-08,2021-12-01,2021-12,1,2022-08-01,False,2022-08
18,initial,2021-11-01,BASIC,43.0,Female,35-44,Denmark,bing,2021,2021-11,2021-11-01,2021-11,1,2021-11-01,False,2021-11
19,initial,2022-09-01,PRO,85.0,Male,25-34,Norway,organic search,2022,2022-09,2022-09-01,2022-09,3,2022-09-01,False,2022-09
19,reduction,2022-10-01,BASIC,53.0,Male,25-34,Norway,organic search,2022,2022-10,2022-09-01,2022-09,1,2022-10-01,False,2022-10
20,initial,2022-11-01,PRO,85.0,Male,45-54,Finland,google ads,2022,2022-11,2022-11-01,2022-11,3,2022-11-01,False,2022-11
21,initial,2021-09-01,PRO,75.0,Other,55-65,Sweden,organic search,2021,2021-09,2021-09-01,2021-09,3,2021-09-01,False,2021-09
21,upgrade,2022-10-01,MAX,119.0,Other,55-65,Sweden,organic search,2022,2022-10,2021-09-01,2021-09,2,2022-10-01,False,2022-10
22,initial,2022-06-01,BASIC,53.0,Female,25-34,Finland,unknown,2022,2022-06,2022-06-01,2022-06,1,2022-06-01,False,2022-06
22,churn,2022-11-01,BASIC,53.0,Female,25-34,Finland,unknown,2022,2022-11,2022-06-01,2022-06,1,2022-11-01,False,2022-11
23,initial,2020-12-01,MAX,99.0,Female,35-44,Sweden,facebook,2020,2020-12,2020-12-01,2020-12,2,2020-12-01,False,2020-12
23,reduction,2021-05-01,PRO,75.0,Female,35-44,Sweden,facebook,2021,2021-05,2020-12-01,2020-12,3,2021-05-01,False,2021-05
24,initial,2021-03-01,MAX,109.0,Female,18-24,Denmark,facebook,2021,2021-03,2021-03-01,2021-03,2,2021-03-01,False,2021-03
24,reduction,2022-04-01,PRO,85.0,Female,18-24,Denmark,facebook,2022,2022-04,2021-03-01,2021-03,3,2022-04-01,False,2022-04
25,initial,2020-12-01,MAX,99.0,Female,35-44,Sweden,google ads,2020,2020-12,2020-12-01,2020-12,2,2020-12-01,False,2020-12
25,reduction,2022-08-01,BASIC,53.0,Female,35-44,Sweden,google ads,2022,2022-08,2020-12-01,2020-12,1,2022-08-01,False,2022-08
26,initial,2021-02-01,BASIC,43.0,Female,35-44,Sweden,paid search,2021,2021-02,2021-02-01,2021-02,1,2021-02-01,False,2021-02
26,upgrade,2022-07-01,PRO,85.0,Female,35-44,Sweden,paid search,2022,2022-07,2021-02-01,2021-02,3,2022-07-01,False,2022-07
26,churn,2022-10-01,PRO,85.0,Female,35-44,Sweden,paid search,2022,2022-10,2021-02-01,2021-02,3,2022-10-01,False,2022-10
27,initial,2020-12-01,BASIC,33.0,Male,25-34,Finland,google ads,2020,2020-12,2020-12-01,2020-12,1,2020-12-01,False,2020-12
28,initial,2022-07-01,PRO,85.0,Male,55-65,Sweden,facebook,2022,2022-07,2022-07-01,2022-07,3,2022-07-01,False,2022-07
29,initial,2020-06-01,PRO,65.0,Female,55-65,Sweden,unknown,2020,2020-06,2020-06-01,2020-06,3,2020-06-01,False,2020-06
29,upgrade,2022-07-01,MAX,119.0,Female,55-65,Sweden,unknown,2022,2022-07,2020-06-01,2020-06,2,2022-07-01,False,2022-07
30,initial,2022-07-01,PRO,85.0,Male,45-54,Sweden,bing,2022,2022-07,2022-07-01,2022-07,3,2022-07-01,False,2022-07
30,reduction,2022-10-01,BASIC,53.0,Male,45-54,Sweden,bing,2022,2022-10,2022-07-01,2022-07,1,2022-10-01,False,2022-10
31,initial,2021-05-01,PRO,75.0,Male,35-44,Sweden,google ads,2021,2021-05,2021-05-01,2021-05,3,2021-05-01,False,2021-05
31,upgrade,2022-11-01,MAX,119.0,Male,35-44,Sweden,google ads,2022,2022-11,2021-05-01,2021-05,2,2022-11-01,False,2022-11
32,initial,2022-04-01,MAX,119.0,Female,45-54,Finland,display,2022,2022-04,2022-04-01,2022-04,2,2022-04-01,False,2022-04
33,initial,2021-09-01,BASIC,43.0,Male,18-24,Sweden,facebook,2021,2021-09,2021-09-01,2021-09,1,2021-09-01,False,2021-09
33,churn,2022-09-01,BASIC,53.0,Male,18-24,Sweden,facebook,2022,2022-09,2021-09-01,2021-09,1,2022-09-01,False,2022-09
34,initial,2022-02-01,BASIC,53.0,Male,45-54,Norway,paid search,2022,2022-02,2022-02-01,2022-02,1,2022-02-01,False,2022-02
35,initial,2022-05-01,PRO,85.0,Male,18-24,Sweden,paid search,2022,2022-05,2022-05-01,2022-05,3,2022-05-01,False,2022-05
36,initial,2022-10-01,MAX,119.0,Female,45-54,Denmark,google ads,2022,2022-10,2022-10-01,2022-10,2,2022-10-01,False,2022-10
37,initial,2020-02-01,PRO,65.0,Female,35-44,Sweden,facebook,2020,2020-02,2020-02-01,2020-02,3,2020-02-01,False,2020-02
37,upgrade,2020-11-01,MAX,99.0,Female,35-44,Sweden,facebook,2020,2020-11,2020-02-01,2020-02,2,2020-11-01,False,2020-11
37,churn,2020-11-01,PRO,65.0,Female,35-44,Sweden,facebook,2020,2020-11,2020-02-01,2020-02,3,2020-11-01,False,2020-11
38,initial,2021-06-01,PRO,75.0,Male,25-34,Finland,unknown,2021,2021-06,2021-06-01,2021-06,3,2021-06-01,False,2021-06
38,reduction,2022-07-01,BASIC,53.0,Male,25-34,Finland,unknown,2022,2022-07,2021-06-01,2021-06,1,2022-07-01,False,2022-07
39,initial,2020-08-01,PRO,65.0,Male,18-24,Sweden,google ads,2020,2020-08,2020-08-01,2020-08,3,2020-08-01,False,2020-08
39,upgrade,2022-04-01,MAX,119.0,Male,18-24,Sweden,google ads,2022,2022-04,2020-08-01,2020-08,2,2022-04-01,False,2022-04
39,churn,2022-07-01,MAX,119.0,Male,18-24,Sweden,google ads,2022,2022-07,2020-08-01,2020-08,2,2022-07-01,False,2022-07
40,initial,2020-12-01,MAX,99.0,Other,18-24,Denmark,facebook,2020,2020-12,2020-12-01,2020-12,2,2020-12-01,False,2020-12
40,reduction,2021-10-01,BASIC,43.0,Other,18-24,Denmark,facebook,2021,2021-10,2020-12-01,2020-12,1,2021-10-01,False,2021-10
40,churn,2022-04-01,BASIC,53.0,Other,18-24,Denmark,facebook,2022,2022-04,2020-12-01,2020-12,1,2022-04-01,False,2022-04
41,initial,2021-08-01,MAX,109.0,Male,35-44,Sweden,google ads,2021,2021-08,2021-08-01,2021-08,2,2021-08-01,False,2021-08
41,reduction,2022-10-01,BASIC,53.0,Male,35-44,Sweden,google ads,2022,2022-10,2021-08-01,2021-08,1,2022-10-01,False,2022-10
42,initial,2021-06-01,BASIC,43.0,Female,25-34,Sweden,tv,2021,2021-06,2021-06-01,2021-06,1,2021-06-01,False,2021-06
43,initial,2020-04-01,MAX,99.0,Female,45-54,Sweden,organic search,2020,2020-04,2020-04-01,2020-04,2,2020-04-01,False,2020-04
43,reduction,2021-10-01,PRO,75.0,Female,45-54,Sweden,organic search,2021,2021-10,2020-04-01,2020-04,3,2021-10-01,False,2021-10
44,initial,2021-11-01,PRO,75.0,Male,18-24,Sweden,paid search,2021,2021-11,2021-11-01,2021-11,3,2021-11-01,False,2021-11
44,reduction,2022-08-01,BASIC,53.0,Male,18-24,Sweden,paid search,2022,2022-08,2021-11-01,2021-11,1,2022-08-01,False,2022-08
45,initial,2022-02-01,PRO,85.0,Female,55-65,Sweden,unknown,2022,2022-02,2022-02-01,2022-02,3,2022-02-01,False,2022-02
45,upgrade,2022-11-01,MAX,119.0,Female,55-65,Sweden,unknown,2022,2022-11,2022-02-01,2022-02,2,2022-11-01,False,2022-11
46,initial,2021-10-01,PRO,75.0,Male,18-24,Sweden,paid search,2021,2021-10,2021-10-01,2021-10,3,2021-10-01,False,2021-10
46,upgrade,2022-03-01,MAX,119.0,Male,18-24,Sweden,paid search,2022,2022-03,2021-10-01,2021-10,2,2022-03-01,False,2022-03
47,initial,2020-10-01,BASIC,33.0,Male,18-24,Sweden,google ads,2020,2020-10,2020-10-01,2020-10,1,2020-10-01,False,2020-10
47,upgrade,2021-06-01,MAX,109.0,Male,18-24,Sweden,google ads,2021,2021-06,2020-10-01,2020-10,2,2021-06-01,False,2021-06
48,initial,2020-05-01,MAX,99.0,Male,55-65,Sweden,facebook,2020,2020-05,2020-05-01,2020-05,2,2020-05-01,False,2020-05
48,reduction,2021-02-01,PRO,75.0,Male,55-65,Sweden,facebook,2021,2021-02,2020-05-01,2020-05,3,2021-02-01,False,2021-02
49,initial,2022-09-01,MAX,119.0,Female,18-24,Sweden,google ads,2022,2022-09,2022-09-01,2022-09,2,2022-09-01,False,2022-09
50,initial,2022-06-01,MAX,119.0,Other,55-65,Sweden,facebook,2022,2022-06,2022-06-01,2022-06,2,2022-06-01,False,2022-06
51,initial,2021-12-01,BASIC,43.0,Female,18-24,Sweden,google ads,2021,2021-12,2021-12-01,2021-12,1,2021-12-01,False,2021-12
51,churn,2022-07-01,BASIC,53.0,Female,18-24,Sweden,google ads,2022,2022-07,2021-12-01,2021-12,1,2022-07-01,False,2022-07
52,initial,2021-12-01,MAX,109.0,Other,25-34,Denmark,google ads,2021,2021-12,2021-12-01,2021-12,2,2021-12-01,False,2021-12
52,reduction,2022-06-01,PRO,85.0,Other,25-34,Denmark,google ads,2022,2022-06,2021-12-01,2021-12,3,2022-06-01,False,2022-06
53,initial,2020-06-01,PRO,65.0,Female,25-34,Denmark,facebook,2020,2020-06,2020-06-01,2020-06,3,2020-06-01,False,2020-06
53,upgrade,2021-01-01,MAX,109.0,Female,25-34,Denmark,facebook,2021,2021-01,2020-06-01,2020-06,2,2021-01-01,False,2021-01
54,initial,2022-07-01,PRO,85.0,Female,55-65,Sweden,tv,2022,2022-07,2022-07-01,2022-07,3,2022-07-01,False,2022-07
55,initial,2022-01-01,BASIC,53.0,Male,45-54,Sweden,paid search,2022,2022-01,2022-01-01,2022-01,1,2022-01-01,False,2022-01
56,initial,2020-05-01,PRO,65.0,Female,45-54,Finland,facebook,2020,2020-05,2020-05-01,2020-05,3,2020-05-01,False,2020-05
56,upgrade,2022-04-01,MAX,119.0,Female,45-54,Finland,facebook,2022,2022-04,2020-05-01,2020-05,2,2022-04-01,False,2022-04
57,initial,2022-03-01,PRO,85.0,Male,35-44,Sweden,paid search,2022,2022-03,2022-03-01,2022-03,3,2022-03-01,False,2022-03
58,initial,2022-01-01,BASIC,53.0,Female,25-34,Norway,facebook,2022,2022-01,2022-01-01,2022-01,1,2022-01-01,False,2022-01
59,initial,2022-01-01,MAX,119.0,Female,35-44,Norway,paid search,2022,2022-01,2022-01-01,2022-01,2,2022-01-01,False,2022-01
59,reduction,2022-11-01,BASIC,53.0,Female,35-44,Norway,paid search,2022,2022-11,2022-01-01,2022-01,1,2022-11-01,False,2022-11
60,initial,2020-08-01,BASIC,33.0,Male,45-54,Finland,facebook,2020,2020-08,2020-08-01,2020-08,1,2020-08-01,False,2020-08
60,churn,2021-03-01,BASIC,43.0,Male,45-54,Finland,facebook,2021,2021-03,2020-08-01,2020-08,1,2021-03-01,False,2021-03
61,initial,2022-06-01,PRO,85.0,Male,25-34,Sweden,organic search,2022,2022-06,2022-06-01,2022-06,3,2022-06-01,False,2022-06
62,initial,2021-03-01,PRO,75.0,Female,35-44,Sweden,organic search,2021,2021-03,2021-03-01,2021-03,3,2021-03-01,False,2021-03
62,upgrade,2021-10-01,MAX,109.0,Female,35-44,Sweden,organic search,2021,2021-10,2021-03-01,2021-03,2,2021-10-01,False,2021-10
62,churn,2022-07-01,MAX,119.0,Female,35-44,Sweden,organic search,2022,2022-07,2021-03-01,2021-03,2,2022-07-01,False,2022-07
63,initial,2020-08-01,MAX,99.0,Female,18-24,Denmark,facebook,2020,2020-08,2020-08-01,2020-08,2,2020-08-01,False,2020-08
63,reduction,2020-11-01,PRO,65.0,Female,18-24,Denmark,facebook,2020,2020-11,2020-08-01,2020-08,3,2020-11-01,False,2020-11
64,initial,2020-02-01,MAX,99.0,Female,25-34,Sweden,facebook,2020,2020-02,2020-02-01,2020-02,2,2020-02-01,False,2020-02
64,reduction,2020-04-01,PRO,65.0,Female,25-34,Sweden,facebook,2020,2020-04,2020-02-01,2020-02,3,2020-04-01,False,2020-04
65,initial,2021-06-01,BASIC,43.0,Male,55-65,Denmark,paid search,2021,2021-06,2021-06-01,2021-06,1,2021-06-01,False,2021-06
65,churn,2022-03-01,BASIC,53.0,Male,55-65,Denmark,paid search,2022,2022-03,2021-06-01,2021-06,1,2022-03-01,False,2022-03
66,initial,2020-11-01,PRO,65.0,Male,35-44,Sweden,organic search,2020,2020-11,2020-11-01,2020-11,3,2020-11-01,False,2020-11
66,reduction,2022-04-01,BASIC,53.0,Male,35-44,Sweden,organic search,2022,2022-04,2020-11-01,2020-11,1,2022-04-01,False,2022-04
67,initial,2022-10-01,PRO,85.0,Male,55-65,Norway,organic search,2022,2022-10,2022-10-01,2022-10,3,2022-10-01,False,2022-10
68,initial,2020-09-01,MAX,99.0,Female,45-54,Norway,google ads,2020,2020-09,2020-09-01,2020-09,2,2020-09-01,False,2020-09
68,reduction,2022-04-01,BASIC,53.0,Female,45-54,Norway,google ads,2022,2022-04,2020-09-01,2020-09,1,2022-04-01,False,2022-04
69,initial,2022-02-01,PRO,85.0,Male,55-65,Sweden,facebook,2022,2022-02,2022-02-01,2022-02,3,2022-02-01,False,2022-02
69,upgrade,2022-11-01,MAX,119.0,Male,55-65,Sweden,facebook,2022,2022-11,2022-02-01,2022-02,2,2022-11-01,False,2022-11
70,initial,2022-07-01,PRO,85.0,Female,45-54,Sweden,google ads,2022,2022-07,2022-07-01,2022-07,3,2022-07-01,False,2022-07
71,initial,2021-02-01,PRO,75.0,Male,55-65,Denmark,google ads,2021,2021-02,2021-02-01,2021-02,3,2021-02-01,False,2021-02
71,reduction,2021-08-01,BASIC,43.0,Male,55-65,Denmark,google ads,2021,2021-08,2021-02-01,2021-02,1,2021-08-01,False,2021-08
71,churn,2022-05-01,BASIC,53.0,Male,55-65,Denmark,google ads,2022,2022-05,2021-02-01,2021-02,1,2022-05-01,False,2022-05
72,initial,2020-09-01,MAX,99.0,Male,18-24,Finland,facebook,2020,2020-09,2020-09-01,2020-09,2,2020-09-01,False,2020-09
72,reduction,2022-02-01,BASIC,53.0,Male,18-24,Finland,facebook,2022,2022-02,2020-09-01,2020-09,1,2022-02-01,False,2022-02
73,initial,2022-05-01,PRO,85.0,Female,45-54,Norway,facebook,2022,2022-05,2022-05-01,2022-05,3,2022-05-01,False,2022-05
74,initial,2022-08-01,MAX,119.0,Male,18-24,Finland,google ads,2022,2022-08,2022-08-01,2022-08,2,2022-08-01,False,2022-08
75,initial,2021-07-01,BASIC,43.0,Male,18-24,Norway,facebook,2021,2021-07,2021-07-01,2021-07,1,2021-07-01,False,2021-07
76,initial,2022-06-01,PRO,85.0,Male,25-34,Sweden,google ads,2022,2022-06,2022-06-01,2022-06,3,2022-06-01,False,2022-06
76,reduction,2022-11-01,BASIC,53.0,Male,25-34,Sweden,google ads,2022,2022-11,2022-06-01,2022-06,1,2022-11-01,False,2022-11
77,initial,2020-01-01,BASIC,33.0,Female,35-44,Sweden,facebook,2020,2020-01,2020-01-01,2020-01,1,2020-01-01,False,2020-01
77,upgrade,2021-11-01,PRO,75.0,Female,35-44,Sweden,facebook,2021,2021-11,2020-01-01,2020-01,3,2021-11-01,False,2021-11
78,initial,2020-03-01,PRO,65.0,Male,45-54,Sweden,google ads,2020,2020-03,2020-03-01,2020-03,3,2020-03-01,False,2020-03
78,upgrade,2022-02-01,MAX,119.0,Male,45-54,Sweden,google ads,2022,2022-02,2020-03-01,2020-03,2,2022-02-01,False,2022-02
79,initial,2022-07-01,PRO,85.0,Male,18-24,Sweden,google ads,2022,2022-07,2022-07-01,2022-07,3,2022-07-01,False,2022-07
80,initial,2021-01-01,PRO,75.0,Female,18-24,Denmark,organic search,2021,2021-01,2021-01-01,2021-01,3,2021-01-01,False,2021-01
80,reduction,2022-07-01,BASIC,53.0,Female,18-24,Denmark,organic search,2022,2022-07,2021-01-01,2021-01,1,2022-07-01,False,2022-07
81,initial,2020-11-01,MAX,99.0,Female,45-54,Sweden,unknown,2020,2020-11,2020-11-01,2020-11,2,2020-11-01,False,2020-11
81,reduction,2022-01-01,PRO,85.0,Female,45-54,Sweden,unknown,2022,2022-01,2020-11-01,2020-11,3,2022-01-01,False,2022-01
81,churn,2022-10-01,PRO,85.0,Female,45-54,Sweden,unknown,2022,2022-10,2020-11-01,2020-11,3,2022-10-01,False,2022-10
82,initial,2022-09-01,BASIC,53.0,Female,18-24,Sweden,paid search,2022,2022-09,2022-09-01,2022-09,1,2022-09-01,False,2022-09
83,initial,2022-09-01,BASIC,53.0,Male,35-44,Norway,facebook,2022,2022-09,2022-09-01,2022-09,1,2022-09-01,False,2022-09
84,initial,2020-09-01,MAX,99.0,Female,45-54,Finland,google ads,2020,2020-09,2020-09-01,2020-09,2,2020-09-01,False,2020-09
84,reduction,2020-10-01,PRO,65.0,Female,45-54,Finland,google ads,2020,2020-10,2020-09-01,2020-09,3,2020-10-01,False,2020-10
85,initial,2021-10-01,PRO,75.0,Male,55-65,Sweden,organic search,2021,2021-10,2021-10-01,2021-10,3,2021-10-01,False,2021-10
86,initial,2022-04-01,PRO,85.0,Male,18-24,Norway,facebook,2022,2022-04,2022-04-01,2022-04,3,2022-04-01,False,2022-04
86,reduction,2022-08-01,BASIC,53.0,Male,18-24,Norway,facebook,2022,2022-08,2022-04-01,2022-04,1,2022-08-01,False,2022-08
87,initial,2020-01-01,MAX,99.0,Female,25-34,Sweden,google ads,2020,2020-01,2020-01-01,2020-01,2,2020-01-01,False,2020-01
87,reduction,2020-06-01,BASIC,33.0,Female,25-34,Sweden,google ads,2020,2020-06,2020-01-01,2020-01,1,2020-06-01,False,2020-06
88,initial,2022-06-01,BASIC,53.0,Male,25-34,Finland,facebook,2022,2022-06,2022-06-01,2022-06,1,2022-06-01,False,2022-06
89,initial,2021-03-01,MAX,109.0,Other,55-65,Sweden,display,2021,2021-03,2021-03-01,2021-03,2,2021-03-01,False,2021-03
89,reduction,2021-05-01,BASIC,43.0,Other,55-65,Sweden,display,2021,2021-05,2021-03-01,2021-03,1,2021-05-01,False,2021-05
90,initial,2020-12-01,BASIC,33.0,Male,55-65,Sweden,google ads,2020,2020-12,2020-12-01,2020-12,1,2020-12-01,False,2020-12
90,churn,2021-04-01,BASIC,43.0,Male,55-65,Sweden,google ads,2021,2021-04,2020-12-01,2020-12,1,2021-04-01,False,2021-04
91,initial,2020-10-01,MAX,99.0,Female,18-24,Sweden,organic search,2020,2020-10,2020-10-01,2020-10,2,2020-10-01,False,2020-10
91,reduction,2021-09-01,BASIC,43.0,Female,18-24,Sweden,organic search,2021,2021-09,2020-10-01,2020-10,1,2021-09-01,False,2021-09
92,initial,2022-09-01,PRO,85.0,Female,35-44,Sweden,organic search,2022,2022-09,2022-09-01,2022-09,3,2022-09-01,False,2022-09
93,initial,2022-10-01,PRO,85.0,Male,55-65,Sweden,google ads,2022,2022-10,2022-10-01,2022-10,3,2022-10-01,False,2022-10
94,initial,2022-11-01,PRO,85.0,Male,18-24,Denmark,facebook,2022,2022-11,2022-11-01,2022-11,3,2022-11-01,False,2022-11
95,initial,2020-11-01,BASIC,33.0,Male,45-54,Sweden,google ads,2020,2020-11,2020-11-01,2020-11,1,2020-11-01,False,2020-11
95,upgrade,2021-06-01,MAX,109.0,Male,45-54,Sweden,google ads,2021,2021-06,2020-11-01,2020-11,2,2021-06-01,False,2021-06
96,initial,2021-05-01,MAX,109.0,Female,55-65,Norway,google ads,2021,2021-05,2021-05-01,2021-05,2,2021-05-01,False,2021-05
96,reduction,2022-10-01,PRO,85.0,Female,55-65,Norway,google ads,2022,2022-10,2021-05-01,2021-05,3,2022-10-01,False,2022-10
97,initial,2022-05-01,MAX,119.0,Female,45-54,Sweden,google ads,2022,2022-05,2022-05-01,2022-05,2,2022-05-01,False,2022-05
98,initial,2022-01-01,BASIC,53.0,Male,18-24,Denmark,google ads,2022,2022-01,2022-01-01,2022-01,1,2022-01-01,False,2022-01
99,initial,2022-06-01,MAX,119.0,Male,35-44,Sweden,unknown,2022,2022-06,2022-06-01,2022-06,2,2022-06-01,False,2022-06
100,initial,2022-08-01,BASIC,53.0,Male,25-34,Norway,paid search,2022,2022-08,2022-08-01,2022-08,1,2022-08-01,False,2022-08
101,initial,2021-12-01,BASIC,43.0,Female,45-54,Norway,google ads,2021,2021-12,2021-12-01,2021-12,1,2021-12-01,False,2021-12
101,upgrade,2022-08-01,PRO,85.0,Female,45-54,Norway,google ads,2022,2022-08,2021-12-01,2021-12,3,2022-08-01,False,2022-08
102,initial,2022-12-01,PRO,85.0,Male,18-24,Sweden,google ads,2022,2022-12,2022-12-01,2022-12,3,2022-12-01,False,2022-12
103,initial,2022-11-01,PRO,85.0,Male,55-65,Finland,facebook,2022,2022-11,2022-11-01,2022-11,3,2022-11-01,False,2022-11
104,initial,2021-06-01,MAX,109.0,Male,18-24,Sweden,google ads,2021,2021-06,2021-06-01,2021-06,2,2021-06-01,False,2021-06
104,reduction,2021-09-01,BASIC,43.0,Male,18-24,Sweden,google ads,2021,2021-09,2021-06-01,2021-06,1,2021-09-01,False,2021-09
104,churn,2022-08-01,BASIC,53.0,Male,18-24,Sweden,google ads,2022,2022-08,2021-06-01,2021-06,1,2022-08-01,False,2022-08
105,initial,2020-09-01,PRO,65.0,Male,18-24,Denmark,paid search,2020,2020-09,2020-09-01,2020-09,3,2020-09-01,False,2020-09
105,upgrade,2022-07-01,MAX,119.0,Male,18-24,Denmark,paid search,2022,2022-07,2020-09-01,2020-09,2,2022-07-01,False,2022-07
106,initial,2020-12-01,MAX,99.0,Male,55-65,Denmark,display,2020,2020-12,2020-12-01,2020-12,2,2020-12-01,False,2020-12
106,reduction,2021-08-01,PRO,75.0,Male,55-65,Denmark,display,2021,2021-08,2020-12-01,2020-12,3,2021-08-01,False,2021-08
106,churn,2022-06-01,PRO,85.0,Male,55-65,Denmark,display,2022,2022-06,2020-12-01,2020-12,3,2022-06-01,False,2022-06
107,initial,2021-11-01,MAX,109.0,Female,55-65,Norway,facebook,2021,2021-11,2021-11-01,2021-11,2,2021-11-01,False,2021-11
107,reduction,2022-07-01,PRO,85.0,Female,55-65,Norway,facebook,2022,2022-07,2021-11-01,2021-11,3,2022-07-01,False,2022-07
108,initial,2020-11-01,BASIC,33.0,Female,45-54,Finland,unknown,2020,2020-11,2020-11-01,2020-11,1,2020-11-01,False,2020-11
108,upgrade,2022-11-01,PRO,85.0,Female,45-54,Finland,unknown,2022,2022-11,2020-11-01,2020-11,3,2022-11-01,False,2022-11
109,initial,2020-04-01,PRO,65.0,Male,55-65,Finland,unknown,2020,2020-04,2020-04-01,2020-04,3,2020-04-01,False,2020-04
109,churn,2020-07-01,PRO,65.0,Male,55-65,Finland,unknown,2020,2020-07,2020-04-01,2020-04,3,2020-07-01,False,2020-07
110,initial,2022-11-01,BASIC,53.0,Female,18-24,Norway,facebook,2022,2022-11,2022-11-01,2022-11,1,2022-11-01,False,2022-11
111,initial,2020-01-01,PRO,65.0,Female,18-24,Denmark,unknown,2020,2020-01,2020-01-01,2020-01,3,2020-01-01,False,2020-01
111,upgrade,2022-04-01,MAX,119.0,Female,18-24,Denmark,unknown,2022,2022-04,2020-01-01,2020-01,2,2022-04-01,False,2022-04
111,churn,2022-08-01,MAX,119.0,Female,18-24,Denmark,unknown,2022,2022-08,2020-01-01,2020-01,2,2022-08-01,False,2022-08
112,initial,2021-06-01,BASIC,43.0,Female,25-34,Sweden,paid search,2021,2021-06,2021-06-01,2021-06,1,2021-06-01,False,2021-06
112,upgrade,2022-08-01,MAX,119.0,Female,25-34,Sweden,paid search,2022,2022-08,2021-06-01,2021-06,2,2022-08-01,False,2022-08
113,initial,2021-10-01,MAX,109.0,Female,45-54,Finland,unknown,2021,2021-10,2021-10-01,2021-10,2,2021-10-01,False,2021-10
113,churn,2022-11-01,MAX,119.0,Female,45-54,Finland,unknown,2022,2022-11,2021-10-01,2021-10,2,2022-11-01,False,2022-11
